model,radio_coef,chemo_coef,learning_rate,batch_size,rnn_hidden_units,br_size,fc_hidden_units,rnn_keep_prob
encoder,0,0,.001,64,12,18,18,.9
encoder,1,1,.1,64,18,18,18,.9
encoder,2,2,.001,64,24,12,36,.9
encoder,3,3,.01,128,18,18,54,.8
encoder,4,4,.01,64,24,6,24,.8
encoder,5,5,.001,128,24,12,48,.9
encoder,6,6,.001,64,24,12,48,.9
encoder,7,7,.001,64,18,18,72,.8
encoder,8,8,.01,128,12,24,12,.9
encoder,9,9,.001,128,24,18,36,.9
encoder,10,10,.01,128,24,12,12,.9
decoder,1,1,.001,1024,18,18,18,.9
decoder,2,2,.001,1024,12,18,36,.8
decoder,3,3,.001,512,18,6,18,.7
decoder,4,4,.001,1024,6,18,72,.9
decoder,5,5,.001,1024,12,3,6,.9

